,choice,alt,time,fare,age,number_own_cars,chid,idx.chid,idx.alt
432,FALSE,3,0.4371,2.1319,0,1,144,144,3
433,TRUE,1,0.379,3.2,0,0,145,145,1
434,FALSE,2,1.145,8.8,0,0,145,145,2
435,FALSE,3,0.4371,2.1319,0,1,145,145,3
436,TRUE,1,1.04,5.3,0,0,146,146,1
437,FALSE,2,0.968,8.4,0,0,146,146,2
438,FALSE,3,0.2955,1.476,0,1,146,146,3
439,TRUE,1,0.257,1.9,0,0,147,147,1
440,FALSE,2,0.737,5.5,0,0,147,147,2
441,FALSE,3,0.1632,0.7283,0,1,147,147,3
442,TRUE,1,0.394,2.3,0,0,148,148,1
443,FALSE,2,0.816,6.5,0,0,148,148,2
444,FALSE,3,0.2947,1.4519,0,1,148,148,3
445,TRUE,1,0.209,1.4,0,0,149,149,1
446,FALSE,2,0.491,3,0,0,149,149,2
447,FALSE,3,0.0879,0.3189,0,1,149,149,3
448,TRUE,1,0.321,1.9,0,0,150,150,1
449,FALSE,2,0.584,4.5,0,0,150,150,2
450,FALSE,3,0.1837,0.8675,0,1,150,150,3
451,TRUE,1,0.436,6.5,0,0,151,151,1
452,FALSE,2,1.838,20.8233,0,0,151,151,2
453,FALSE,3,0.7759,4.0049,0,1,151,151,3
454,TRUE,1,0.557,2.3,0,0,152,152,1
455,FALSE,2,1.067,6.4,0,0,152,152,2
456,FALSE,3,0.2601,1.2895,0,1,152,152,3
457,TRUE,1,0.257,1.9,0,0,153,153,1
458,FALSE,2,0.626,5.5,0,0,153,153,2
459,FALSE,3,0.1632,0.7283,0,1,153,153,3
460,TRUE,1,0.273,1.9,0,0,154,154,1
461,FALSE,2,0.903,5,0,0,154,154,2
462,FALSE,3,0.2254,1.0399,0,1,154,154,3
463,TRUE,1,0.35,1.9,0,0,155,155,1
464,FALSE,2,1.126,6.6,0,0,155,155,2
465,FALSE,3,0.2374,1.0967,0,1,155,155,3
466,TRUE,1,0.209,1.4,0,0,156,156,1
467,FALSE,2,0.505,3,0,0,156,156,2
468,FALSE,3,0.0879,0.3189,0,1,156,156,3
469,TRUE,1,0.321,1.9,0,0,157,157,1
470,FALSE,2,0.455,4.4,0,0,157,157,2
471,FALSE,3,0.1837,0.8675,0,1,157,157,3
472,TRUE,1,0.741,6.09,0,0,158,158,1
473,FALSE,2,1.804,19.2311,0,0,158,158,2
474,FALSE,3,0.6117,3.1215,0,1,158,158,3
475,TRUE,1,0.592,1.9,0,0,159,159,1
476,FALSE,2,0.905,6.1,0,0,159,159,2
477,FALSE,3,0.2078,0.9924,0,1,159,159,3
478,TRUE,1,0.416,2.3,0,0,160,160,1
479,FALSE,2,0.936,8.2,0,0,160,160,2
480,FALSE,3,0.2955,1.4131,0,1,160,160,3
481,TRUE,1,0.416,2.3,0,0,161,161,1
482,FALSE,2,0.936,8.2,0,0,161,161,2
483,FALSE,3,0.2955,1.4131,0,1,161,161,3
484,TRUE,1,1.061,7.4,0,0,162,162,1
485,FALSE,2,1.878,18.1622,0,0,162,162,2
486,FALSE,3,0.7546,5.9702,0,1,162,162,3
487,TRUE,1,0.405,1.9,0,0,163,163,1
488,FALSE,2,0.897,6.2,0,0,163,163,2
